Team,Arena,City,State,Country
Atlanta Hawks,State Farm Arena,Atlanta,Georgia,USA
Boston Celtics,TD Garden,Boston,Massachusetts,USA
Brooklyn Nets,Barclays Center,Brooklyn,New York,USA
Charlotte Hornets,Spectrum Center,Charlotte,North Carolina,USA
Chicago Bulls,United Center,Chicago,Illinois,USA
Cleveland Cavaliers,Rocket Mortgage FieldHouse,Cleveland,Ohio,USA
Dallas Mavericks,American Airlines Center,Dallas,Texas,USA
Denver Nuggets,Ball Arena,Denver,Colorado,USA
Detroit Pistons,Little Caesars Arena,Detroit,Michigan,USA
Houston Rockets,Toyota Center,Houston,Texas,USA
Indiana Pacers,Gainbridge Fieldhouse,Indianapolis,Indiana,USA
LA Clippers,Intuit Dome,Inglewood,California,USA
Los Angeles Lakers,Crypto.com Arena,Los Angeles,California,USA
Memphis Grizzlies,FedExForum,Memphis,Tennessee,USA
Miami Heat,Kaseya Center,Miami,Florida,USA
Milwaukee Bucks,Fiserv Forum,Milwaukee,Wisconsin,USA
Minnesota Timberwolves,Target Center,Minneapolis,Minnesota,USA
New Orleans Pelicans,Smoothie King Center,New Orleans,Louisiana,USA
New York Knicks,Madison Square Garden,New York,New York,USA
Oklahoma City Thunder,Paycom Center,Oklahoma City,Oklahoma,USA
Orlando Magic,Kia Center,Orlando,Florida,USA
Philadelphia 76ers,Wells Fargo Center,Philadelphia,Pennsylvania,USA
Phoenix Suns,Footprint Center,Phoenix,Arizona,USA
Portland Trail Blazers,Moda Center,Portland,Oregon,USA
Sacramento Kings,Golden 1 Center,Sacramento,California,USA
Utah Jazz,Delta Center,Salt Lake City,Utah,USA
San Antonio Spurs,Frost Bank Center,San Antonio,Texas,USA
Golden State Warriors,Chase Center,San Francisco,California,USA
Toronto Raptors,Scotiabank Arena,Toronto,Ontario,Canada
Washington Wizards,Capital One Arena,"Washington, D.C.",,USA
